condition,outcome,outcome_distance,source_ids,evidence_strength,qualitative_direction_only,transport_notes,target_effect_present
Former skeptics,behavior_mean,distal,GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"conservative messenger and persuasion evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Former skeptics,donation_ams,behavioral,GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"conservative messenger and persuasion evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Former skeptics,newsletter_signup,behavioral,GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"conservative messenger and persuasion evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
High public trust,trust_multidimensional,proximal,ANNENBERG2024;NSB2024;SABHERWAL2026;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"descriptive trust-norm and baseline evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
High public trust,trust_post,proximal,ANNENBERG2024;NSB2024;SABHERWAL2026;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"descriptive trust-norm and baseline evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
High public trust,distrust_post,proximal,ANNENBERG2024;NSB2024;SABHERWAL2026;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,"usually nonpositive, but backfire/null allowed","descriptive trust-norm and baseline evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
High public trust,funding_perceptions,proximal,ANNENBERG2024;NSB2024;SABHERWAL2026;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"descriptive trust-norm and baseline evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
High public trust,policy_role_mean,intermediate,ANNENBERG2024;NSB2024;SABHERWAL2026;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"descriptive trust-norm and baseline evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
High public trust,inst_trust_mean,intermediate,ANNENBERG2024;NSB2024;SABHERWAL2026;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"descriptive trust-norm and baseline evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
High public trust,belief_post,intermediate,ANNENBERG2024;NSB2024;SABHERWAL2026;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"descriptive trust-norm and baseline evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
High public trust,concern_mean,intermediate,ANNENBERG2024;NSB2024;SABHERWAL2026;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"descriptive trust-norm and baseline evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
High public trust,policy_general,distal,ANNENBERG2024;NSB2024;SABHERWAL2026;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"descriptive trust-norm and baseline evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
High public trust,policy_specific_mean,distal,ANNENBERG2024;NSB2024;SABHERWAL2026;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"descriptive trust-norm and baseline evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
High public trust,behavior_mean,distal,ANNENBERG2024;NSB2024;SABHERWAL2026;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"descriptive trust-norm and baseline evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
High public trust,donation_ams,behavioral,ANNENBERG2024;NSB2024;SABHERWAL2026;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"descriptive trust-norm and baseline evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
High public trust,newsletter_signup,behavioral,ANNENBERG2024;NSB2024;SABHERWAL2026;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"descriptive trust-norm and baseline evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (2),trust_multidimensional,proximal,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"climate-method and credibility evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (2),trust_post,proximal,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"climate-method and credibility evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (2),distrust_post,proximal,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,"usually nonpositive, but backfire/null allowed","climate-method and credibility evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (2),funding_perceptions,proximal,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"climate-method and credibility evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (2),policy_role_mean,intermediate,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"climate-method and credibility evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (2),inst_trust_mean,intermediate,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"climate-method and credibility evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (2),belief_post,intermediate,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"climate-method and credibility evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (2),concern_mean,intermediate,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"climate-method and credibility evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (2),policy_general,distal,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"climate-method and credibility evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (2),policy_specific_mean,distal,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"climate-method and credibility evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (2),behavior_mean,distal,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"climate-method and credibility evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (2),donation_ams,behavioral,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"climate-method and credibility evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (2),newsletter_signup,behavioral,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"climate-method and credibility evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
Peer-review,trust_multidimensional,proximal,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"scientific-process and institutional-trust evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Peer-review,trust_post,proximal,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"scientific-process and institutional-trust evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Peer-review,distrust_post,proximal,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,"usually nonpositive, but backfire/null allowed","scientific-process and institutional-trust evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Peer-review,funding_perceptions,proximal,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"scientific-process and institutional-trust evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
Peer-review,policy_role_mean,intermediate,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientific-process and institutional-trust evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Peer-review,inst_trust_mean,intermediate,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientific-process and institutional-trust evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Peer-review,belief_post,intermediate,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientific-process and institutional-trust evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Peer-review,concern_mean,intermediate,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientific-process and institutional-trust evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Peer-review,policy_general,distal,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"scientific-process and institutional-trust evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Peer-review,policy_specific_mean,distal,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"scientific-process and institutional-trust evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
Peer-review,behavior_mean,distal,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"scientific-process and institutional-trust evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Peer-review,donation_ams,behavioral,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"scientific-process and institutional-trust evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Peer-review,newsletter_signup,behavioral,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"scientific-process and institutional-trust evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
Scientist community helpers,trust_multidimensional,proximal,ANNENBERG2024;NSB2024;VLASCEANU2024_BELIEF;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"benevolence/community and scientist-trust evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Scientist community helpers,trust_post,proximal,ANNENBERG2024;NSB2024;VLASCEANU2024_BELIEF;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"benevolence/community and scientist-trust evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Scientist community helpers,distrust_post,proximal,ANNENBERG2024;NSB2024;VLASCEANU2024_BELIEF;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,"usually nonpositive, but backfire/null allowed","benevolence/community and scientist-trust evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Scientist community helpers,funding_perceptions,proximal,ANNENBERG2024;NSB2024;VLASCEANU2024_BELIEF;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"benevolence/community and scientist-trust evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
Scientist community helpers,policy_role_mean,intermediate,ANNENBERG2024;NSB2024;VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"benevolence/community and scientist-trust evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Scientist community helpers,inst_trust_mean,intermediate,ANNENBERG2024;NSB2024;VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"benevolence/community and scientist-trust evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Scientist community helpers,belief_post,intermediate,ANNENBERG2024;NSB2024;VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"benevolence/community and scientist-trust evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Scientist community helpers,concern_mean,intermediate,ANNENBERG2024;NSB2024;VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"benevolence/community and scientist-trust evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Scientist community helpers,policy_general,distal,ANNENBERG2024;NSB2024;VLASCEANU2024_BELIEF;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"benevolence/community and scientist-trust evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Scientist community helpers,policy_specific_mean,distal,ANNENBERG2024;NSB2024;VLASCEANU2024_BELIEF;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"benevolence/community and scientist-trust evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
Scientist community helpers,behavior_mean,distal,ANNENBERG2024;NSB2024;VLASCEANU2024_BELIEF;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"benevolence/community and scientist-trust evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Scientist community helpers,donation_ams,behavioral,ANNENBERG2024;NSB2024;VLASCEANU2024_BELIEF;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"benevolence/community and scientist-trust evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Scientist community helpers,newsletter_signup,behavioral,ANNENBERG2024;NSB2024;VLASCEANU2024_BELIEF;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"benevolence/community and scientist-trust evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
Consensus,trust_multidimensional,proximal,GEIGER2024_CONSENSUS;RODE2021;VLASCEANU2024_BELIEF;ASHOKKUMAR2026_MEGA;VOELKEL2026,moderate,uncertain; null and negative allowed,"direct consensus-message evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Consensus,trust_post,proximal,GEIGER2024_CONSENSUS;RODE2021;VLASCEANU2024_BELIEF;ASHOKKUMAR2026_MEGA;VOELKEL2026,moderate,uncertain; null and negative allowed,"direct consensus-message evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Consensus,distrust_post,proximal,GEIGER2024_CONSENSUS;RODE2021;VLASCEANU2024_BELIEF;ASHOKKUMAR2026_MEGA;VOELKEL2026,moderate,"usually nonpositive, but backfire/null allowed","direct consensus-message evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Consensus,funding_perceptions,proximal,GEIGER2024_CONSENSUS;RODE2021;VLASCEANU2024_BELIEF;ASHOKKUMAR2026_MEGA;VOELKEL2026,moderate,uncertain; null and negative allowed,"direct consensus-message evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
Consensus,policy_role_mean,intermediate,GEIGER2024_CONSENSUS;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,uncertain; null and negative allowed,"direct consensus-message evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Consensus,inst_trust_mean,intermediate,GEIGER2024_CONSENSUS;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,uncertain; null and negative allowed,"direct consensus-message evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Consensus,belief_post,intermediate,GEIGER2024_CONSENSUS;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,small positive is better supported than for distal outcomes,"direct consensus-message evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Consensus,concern_mean,intermediate,GEIGER2024_CONSENSUS;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,small positive is better supported than for distal outcomes,"direct consensus-message evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Consensus,policy_general,distal,GEIGER2024_CONSENSUS;RODE2021;VLASCEANU2024_BELIEF;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,moderate,uncertain; null and negative allowed,"direct consensus-message evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Consensus,policy_specific_mean,distal,GEIGER2024_CONSENSUS;RODE2021;VLASCEANU2024_BELIEF;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,moderate,uncertain; null and negative allowed,"direct consensus-message evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
Consensus,behavior_mean,distal,GEIGER2024_CONSENSUS;RODE2021;VLASCEANU2024_BELIEF;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,moderate,uncertain; null and negative allowed,"direct consensus-message evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Consensus,donation_ams,behavioral,GEIGER2024_CONSENSUS;RODE2021;VLASCEANU2024_BELIEF;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"direct consensus-message evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Consensus,newsletter_signup,behavioral,GEIGER2024_CONSENSUS;RODE2021;VLASCEANU2024_BELIEF;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"direct consensus-message evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
Portrait Prof. Cherry,trust_multidimensional,proximal,ANNENBERG2024;SABHERWAL2026;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,uncertain; null and negative allowed,"scientist individuation and credibility evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Portrait Prof. Cherry,trust_post,proximal,ANNENBERG2024;SABHERWAL2026;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,uncertain; null and negative allowed,"scientist individuation and credibility evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Portrait Prof. Cherry,distrust_post,proximal,ANNENBERG2024;SABHERWAL2026;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,"usually nonpositive, but backfire/null allowed","scientist individuation and credibility evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Portrait Prof. Cherry,funding_perceptions,proximal,ANNENBERG2024;SABHERWAL2026;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,uncertain; null and negative allowed,"scientist individuation and credibility evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
Portrait Prof. Cherry,policy_role_mean,intermediate,ANNENBERG2024;SABHERWAL2026;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientist individuation and credibility evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Portrait Prof. Cherry,inst_trust_mean,intermediate,ANNENBERG2024;SABHERWAL2026;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientist individuation and credibility evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Portrait Prof. Cherry,belief_post,intermediate,ANNENBERG2024;SABHERWAL2026;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientist individuation and credibility evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Portrait Prof. Cherry,concern_mean,intermediate,ANNENBERG2024;SABHERWAL2026;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientist individuation and credibility evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Portrait Prof. Cherry,policy_general,distal,ANNENBERG2024;SABHERWAL2026;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"scientist individuation and credibility evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Portrait Prof. Cherry,policy_specific_mean,distal,ANNENBERG2024;SABHERWAL2026;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"scientist individuation and credibility evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
Portrait Prof. Cherry,behavior_mean,distal,ANNENBERG2024;SABHERWAL2026;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"scientist individuation and credibility evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Portrait Prof. Cherry,donation_ams,behavioral,ANNENBERG2024;SABHERWAL2026;RODE2021;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"scientist individuation and credibility evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Portrait Prof. Cherry,newsletter_signup,behavioral,ANNENBERG2024;SABHERWAL2026;RODE2021;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"scientist individuation and credibility evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
Model accuracy,trust_multidimensional,proximal,HAUSFATHER2020;ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,moderate,uncertain; null and negative allowed,"historical model-skill evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Model accuracy,trust_post,proximal,HAUSFATHER2020;ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,moderate,uncertain; null and negative allowed,"historical model-skill evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Model accuracy,distrust_post,proximal,HAUSFATHER2020;ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,moderate,"usually nonpositive, but backfire/null allowed","historical model-skill evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Model accuracy,funding_perceptions,proximal,HAUSFATHER2020;ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,moderate,uncertain; null and negative allowed,"historical model-skill evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
